Recipe Name,Cuisine,Servings,Ingredients,Cooking Instructions,Notes,Diet Categories,Category,Total Prep/Cook Time,Attachments,Rating (Julianna),Rating (Taqqui)
Baked Shells w. Spinach & Pancetta,Italian,,,"1 cup light cream
1 cup whole milk
3 oz tomato paste
½ cup grated Romano cheese, divided
black pepper, to taste
12 oz pasta shells
2 tsp salt
2 tbsp unsalted butter
4 oz pancetta or prosciutto, finely diced
10-oz box frozen whole leaf spinach, defrosted

In a medium saucepan, combine the cream, milk and tomato paste.  Bring to a boil at high.  Reduce the heat to low and simmer for 15 minutes.  Remove from the heat and stir in 1/4 cup of the Romano cheese.  Season with the pepper.  Set aside.

Bring a large pot of water to a boil.  Add the pasta and salt and cook for 8 minutes.  Drain and set aside.

Meanwhile, preheat the oven to 350 degrees.  In a large skillet, melt the butter.  Add the pancetta and cook over medium high heat for 5 minutes.  Add the defrosted spinach leaves; cook 5 minutes.

Stir the spinach mixture and pink sauce into the pasta.  Spoon into a shallow, buttered baking dish.  Top with the remaining 1/4 cup Romano cheese.  Bake for 20 minutes.
",,,Entree,,"Screen Shot 2020-06-02 at 12.22.46 PM.png (https://dl.airtable.com/.attachments/3706315c0724db8c10d15a67aeeea981/f6d5611a/ScreenShot2020-06-02at12.22.46PM.png),Screen Shot 2020-06-02 at 12.22.56 PM.png (https://dl.airtable.com/.attachments/dd61bc1d10be025a515c39491751bb1c/4aeb93ac/ScreenShot2020-06-02at12.22.56PM.png)",,
Banana Bread,American,8,"2  banana(s),1.375 cups flour,0.25 tsp salt,1 tbsp baking powder,0.5 cup light brown sugar,1 tsp vanilla extract,0.5 cup yogurt,1  egg(s)","Prep:
Lightly butter a small loaf pan.

Directions:
In a mixer, beat 1 egg, 1/2 cup vanilla or plain yogurt, and 1 tsp vanilla extract. Next, beat in 1/2 cup brown sugar until there are no more lumps.

In a separate bowl, mix 1 tbsp baking powder, 1/4 tsp salt, and 1 3/8 cups flour. Add this to the mixer in halves, thoroughly scraping down the sides and bottom of the mixer's bowl after each addition. 

At this point, preheat oven to 350 degrees. Then beat 2 RIPE bananas into the batter until there are no more lumps. 

IF DESIRED, slowly stir in some mini chocolate chips and/or a dollop of peanut butter or Nutella. Make sure the chocolate chips are distributed evenly within the batter. Then pour the batter into the buttered loaf pan.

Bake for 40 min, turning at the 20 minute mark or until the top is golden brown. Cool for 20 minutes before removing from pan.
","Makes one small loaf. IF DESIRED, slowly stir in some mini chocolate chips and/or a dollop of peanut butter or Nutella.","Vegetarian,Halal","Bread,Dessert",2 hours,IMG_4997.png (https://dl.airtable.com/.attachments/5b127a1b0d7f255ca9b8170858625ba8/ac7e8350/IMG_4997.png),,
Bangali Omelette (Abu's),Indian/Bangali,,,,,"Halal,Vegetarian,Paleo",Side,,,,
Barbecue Sauce (Sweet and Tangy),American,,,"1 1/4 cups ketchup
1 cup dark brown sugar
1/4 cup molasses
1/4 cup pineapple juice
1/4 cup water
1 tablespoon worchestire sauce
2 1/2 teaspoons ground mustard
2 teaspoons smoked paprika
1/2 teaspoon garlic powder
1/4-1/2 teaspoon cayenne pepper use less if you don't like the heat
1 1/2 teaspoons kosher salt
1 teaspoon pepper

INSTRUCTIONS
Combine all the ingredients size sauce pot. Bring to a boil and reduce and simmer for five minutes or until all the sugar has dissolved. Serve immediately or cover and store in fridge.",Source: https://www.halfbakedharvest.com/homemade-barbecue-sauce-just-like-sweet-baby-rays/,"Vegetarian,Halal",Sauce,10 min,,,
Basil Pesto,Italian,,,"2 cups tightly packed fresh basil leaves 
½ cup extra virgin olive oil
3 tablespoons pine nuts 
2 garlic cloves, chopped fine before putting in the processor 
Salt 
½ cup freshly grated parmigiano-reggiano cheese 
2 tablespoons freshly grated pecorino romano cheese
3 tablespoons butter, softened to room temperature
1 ½ pounds pasta

1. Briefly soak and wash the basil in cold water, and gently pat it thoroughly dry with paper towels.
2. Put the basil, olive oil, pine nuts, chopped garlic, and an ample pinch of salt in the processor bowl, and process to a uniform, creamy consistency. 
3. Transfer to a bowl, and mix in the two grated cheeses by hand. It is worth the slight effort to do it by hand to obtain the notably superior texture it produces. When the cheese has been evenly amalgamated with the other ingredients, mix in the softened butter, distributing it uniformly into the sauce. 
4. When spooning the pesto over pasta, dilute it slightly with a tablespoon or two of the hot water in which the pasta was cooked.","Source: ""Essentials of Classic Italian Cooking"" by Marcella Hazan

""Pesto is the sauce the Genoese invented as a vehicle for the fragrance of a basil like no other, their own. Olive oil, garlic, pine nuts, butter, and grated cheese are the only other components. Pesto is never cooked, or heated, and while it may on occasion do good things for vegetable soup, it has just one great role: to be the most seductive of all sauces for pasta... Genoese cooks insist that if it isn’t made in a mortar with a pestle, it isn’t pesto. Linguistically at least, they are correct, because the word comes from the verb pestare, which means to pound or to grind, as in a mortar. They are probably right gastronomically, too...""",,Sauce,,,,
BBQ Pulled Pork,American,,,,,,Entree,,,,
Beef and Brie,French,,,,,,,,,,
Beef Bolognese (Marcella Hazan),Italian,12,"1 cup parmigiano reggiano,2.5 lb tagliatelle,24 oz San Marzano whole peeled plum tomatoes,2 cups white wine,0.25 tsp nutmeg,2 cups milk,  pepper to taste,  salt to taste,1.5 lb ground beef,6 tbsp butter (unsalted),2 tbsp olive oil,1 cup onion(s),1.33 cup celery,1.33 cup carrot","Prep:
Mince the 1 1/3 cup carrot, 1 1/3 cup celery and 1 cup onion into tiny cubes.

Mash up the 28 oz can of plum tomatoes in their juice with your hands and weigh out 24 oz of it for this recipe.

Directions:
Put 2 tbsp oil, 6 tbsp butter, and the chopped onion into a large pot all at once (i.e. do not melt the butter first). Turn the heat on to medium. Cook and stir the onion until it has become translucent, then add the chopped celery and carrot. Cook for about 2 min, stirring vegetables to coat them well with the butter and oil.

Add 1.5 ground beef (Note: can alternatively use 1 lb beef with 1/2 lb pork), 2 large pinches of salt, and several grindings of black pepper. Using a fork, break the meat up into small crumbles, stir well, and cook until the beef has lost its raw, red color.

Add 2 cups milk and let it simmer gently, stirring frequently, until it has reduced almost all the way. (Note: It should look like there's no liquid in the pot, more like just juicy meat mixture.) This should take ~20-30 minutes.

Add 1/4 tsp nutmeg and 2 cups white wine. Let it simmer, stirring frequently, until it has reduced almost all the way, just like the milk. This should take about another 20-30 minutes.

Add the tomatoes and stir thoroughly to coat all ingredients well. When the tomatoes begin to bubble, turn the heat down very low so that the sauce cooks at the laziest of simmers. Put a diffuser underneath the pot to help reduce the heat even further. 

Cook, uncovered, for 4.5 hours, stirring every 10-15 minutes. While the sauce is cooking, you are likely to find that it begins to dry out and the fat separates from the meat. Spoon the fat off the top if desired, and to keep the sauce from sticking to the pot, add 1/2 cup of water whenever necessary. At the end, the sauce should be thick - not at all watery, but not dried up.

Toss with 2.5 to 3 lb cooked tagliatelle and serve with freshly grated Parmesan on the side.","Marcella Hazan's recipe

Source: https://cooking.nytimes.com/recipes/1015181-marcella-hazans-bolognese-sauce

Can use 2 parts beef, 1 part pork if it doesn't need to be Halal. 

This is a good video to see how it looks at each step: https://www.youtube.com/watch?v=jMj8lNdFqV8",,Entree,8 hours,"IMG_3807.png (https://dl.airtable.com/.attachments/20733248cc50492ad719896a10696a3e/d493d865/IMG_3807.png),IMG_3814.png (https://dl.airtable.com/.attachments/9e6914d8dcffeee99bbd4ce361d8a0e4/e31c19b9/IMG_3814.png),IMG_3879.png (https://dl.airtable.com/.attachments/b2de15081c4d1974f00f31bba66f6650/c379047c/IMG_3879.png)",10.0,10.0
Beef Bone Broth,Asian,,,"Blanch the bones by boiling them for 20 minutes.

Roast the bones at 450 degrees for 40 minutes, turning halfway through.

etc...","https://www.epicurious.com/recipes/food/views/beef-bone-broth-51260700
https://www.bonappetit.com/test-kitchen/common-mistakes/article/common-mistakes-bone-broth ","Halal,Paleo",Soup,14 hours,,,
Beef Stroganoff,North/Eastern European,12,"4 cups grated cheddar,1 cup sour cream,0.5  red onion(s),0.5 cup scallion(s),1 lb mushrooms,2 tsp Emeril's Essence,27 oz beef bouillon broth,1 cup marsala,0.5 cup flour,4 cloves garlic,4 cups onion(s),1 lb bacon,4 tbsp olive oil,16 oz pasta,0.5 tsp black pepper,1 tbsp salt,3.5 lb beef top sirloin","Prep:
Slice the beef into bite-size strips. Season with salt and pepper.
Slice 16 oz mushrooms, 4 cups onion, 1/2 cup scallions, and 1/2 of a red onion. Chop 1 lb bacon and crush 4 cloves garlic. Shred 4 cups cheddar. 

Main:
Bring large pot of water to boil and cook the pasta. Meanwhile, cook the bacon and beef in a wide corningware (~10 minutes). 

Add the onions and cook until soft (~8 minutes). Add the garlic and flour. Cook for 3 minutes, stirring. Add the red wine and beef broth and bring to a boil. At this point, preheat the oven to 350 degrees.

Stir in the salt, pepper, add Essence. Add the 16 oz mushrooms, 1/2 cup scallions, and 1/2 a red onion. Cook 4 minutes, stirring occasionally.

Remove from the heat and stir in 1 cup sour cream. Mix in the noodles, and top with 4 cups grated cheddar. Bake 20 minutes.","Can remove bacon, but do NOT use beef bacon!",,Entree,,IMG_2636.jpeg (https://dl.airtable.com/.attachments/7178c618328890756d17b8acfafb6daf/d1f0730f/IMG_2636.jpeg),10.0,
Beef Tehari Biryani,Indian/Bangali,,,,"Source: p. 203 of ""My Bangladesh Kitchen"" by Saira Hamilton",Halal,Entree,,,,
Begun Bortha (Bangali),Indian/Bangali,,"1 tsp salt,2 tsp mustard seeds,1 tbsp green chili pepper(s),2 tbsp cilantro (fresh),2 tbsp shallot(s),2  eggplant(s)","Prep:
Preheat the oven to 375˚F. Wash 2 large eggplants and trim their leaves. Pierce each one 8-10 times. Rub both with olive oil and roast on a baking sheet for 75 min. Turn the eggplants halfway through roasting.

Directions:
Once the cooking time is up, ensure the eggplants are completely soft all the way through. Then, allow them to cool down for ~10 min or until they are cool enough to handle. 

Slice each one in half lengthwise and scoop its flesh into a large mixing bowl. Discard the skins, then mash the eggplant flesh.

Mince 2 tbsp shallot and sauté it until it softens. Place it in a small mixing bowl.

Chop 2 tbsp worth of fresh green chilis and 2 tbsp of cilantro. Add these to the bowl with the shallots. Then mix in 2 tsp mustard seeds and 1 tsp salt. 

Combine all this with the mashed eggplants and serve hot or cold with lemon wedges.","Source: p. 83 of ""My Bangladesh Kitchen"" by Saira Hamilton","Vegan,Paleo,Halal",Entree,,begun_bortha.jpg (https://dl.airtable.com/.attachments/600a1f027f684331637df1978c789604/07ec476e/begun_bortha.jpg),,
Begun Moshla,Indian/Bangali,,,"for eggplant
8 baby eggplants
1/4 tsp turmeric
salt to taste

for masala
1.5 cups chopped onion
salt to taste

Brown slightly

1 tsp ginger paste
1 tsp garlic paste
1/2 tsp turmeric
1 tsp chili powder


1 cup diced tomato

Add 1/4 cup water
Dash of sugar

Sauté over high heat for 10-15 min, adding 1/2 cup water after 2-3 min

Add baby eggplants, coat them in the masala, and let cook further for a few more minutes. Sprinkle with fresh coriander to taste",Source: Banglar Rannaghor https://www.youtube.com/watch?v=VV3hxJ8UccI,"Vegan,Paleo,Halal",Entree,,,,
Black Bean Burgers,Mexican/Latin,,,,,,Entree,,,,
Black Bean Soup,Mexican/Latin,,,,,,Soup,,,,
Blackened Salmon,American,,"1 lb salmon,4 tbsp butter (unsalted),1 tsp sage,1 tsp thyme,2 tsp basil,2 tsp cayenne,2 tsp onion powder,2 tsp garlic powder,1 tsp salt,1 tsp white pepper,1 tsp black pepper","Prep:
Preheat the oven to 400.

Main:
In a small bowl, combine the spices. In a separate small bowl, melt 3 tbsp butter. Brush the salmon with a light coat of butter, then coat with the spices.

Place the salmon fillets in a baking dish brushed with 1 tbsp butter and cook them for ~12-15.",,"Paleo,Halal,Seafood",Entree,,,8.5,10.0
Boeuf Bourgougne,French,,,"3.3 lb – High Quality Stewing Beef
Olive Oil
1 – Onion
2 – Carrots cut in large pieces
2 – Garlic cloves
Bouquet Garni – Thyme, Rosemary, Bay Leaf
8 oz. – Smoked Pancetta or Slab Bacon cut in pieces
8 oz. – Fresh Mushrooms quartered
1 Bottle Red Wine
2 oz. – Cassis
4 tbsp. – Butter
2 oz./4 tbsp…. – Pain d’épices
Salt & Pepper to taste


Prep:
Bake the pain d'épices.

Chop the onion, carrot, mushrooms, and pancetta.

Sauté the mushrooms and pancetta (separately!) and set aside.

Directions:
Brown the beef in the hot oil in a large boiling pot. Add the onion, carrot & garlic. Add the wine and bring to a boil. Next, add the Cassis and ""bouquet garni"", bring to a boil, cover, and cook till tender (approx. 3 hours), checking every 30 min. If too much of the liquid evaporates add water, not wine.

Remove the meat from the stew when fully cooked. Blend the garlic with the stew. Thicken the sauce with the mixture of butter and pain d’épices to the consistency desired. Correct the seasoning. Add the meat back to the sauce along with the mushrooms and bacon. 

Serve the meat with noodles on the side if desired or as a stew by itself.
",https://docs.google.com/document/d/1_3k_ZmareAhBzp071_wHqwJaBVY4Ssff/edit,,Entree,,"Boeuf Bourgogne 2.JPG (https://dl.airtable.com/.attachments/71d260f8b3a1ccc54c9a5eb4f6df1880/e8bf09cf/BoeufBourgogne2.JPG),Screen Shot 2019-08-29 at 11.03.26 AM.png (https://dl.airtable.com/.attachments/5d90abcb15a2b124c4c640d87aa104bd/b7fc1d36/ScreenShot2019-08-29at11.03.26AM.png)",,
Braciole,Italian,,,,,,,,,,
Braised Beef Ragú,Italian,8,,"INGREDIENTS:
1 tablespoon olive oil
2 – 2 1/2 pounds chuck roast
1 medium onion, chopped finely
6-8 cloves of garlic, pressed
1 cup + 2 tablespoons beef broth
2 tablespoons tomato paste
2 tablespoons balsamic vinegar
1 (28 ounce can) crushed tomatoes
1 (14 ounce can) diced tomatoes
2 bay leaves
a few sprigs of fresh thyme
a large bunch of basil (a handful or so, no need to be exact)
1 teaspoon sugar
1/4 teaspoon – 1/2 teaspoon red pepper flakes
salt to taste
pappardelle, parsley, and parmesan cheese for serving

DIRECTIONS:
Season both sides of the chuck roast with salt and pepper. Heat the oil in a large, dutch oven over medium high heat. Add the beef into the pot and allow it to sear on each side for 5 minutes. Add the onions to the skillet and let them sweat for 4-5 minutes or until they turn translucent. Add the garlic and let cook for another 1-2 minutes.
STOVE TOP: Deglaze the pan with 1 cup of beef broth. Add the remaining 2 tablespoons of beef broth to a bowl along with the tomato paste and balsamic vinegar and use a whisk to combine. Add the mixture to the dutch oven and stir to mix. Add the crushed tomatoes, diced tomatoes, bay leaves, fresh thyme, basil, sugar, and red pepper flakes. Allow the sauce to gain a simmer, stir once. Cover and lower the heat to the lowest setting and let cook for 2 1/2 – 3 1/2 hours or until the meat easily shreds with two forks. Mine took about 3 hours to get the meat to just fall apart. Season with salt to taste. Feel free to skim any excess fat off the top and remove the bay leaves and basil leaves before serving. Serve over pappardelle with a sprinkle of parsley and freshly grated parmesan.
SLOW COOKER: Transfer the meat, onion, and garlic mixture to a slow cooker. Add the 1 cup of beef broth to the slow cooker. Whisk the remaining 2 tablespoons of beef broth in a bowl with the tomato paste and balsamic vinegar. Add the mixture to the slow cooker along with the crushed tomatoes, diced tomatoes, bay leaves, fresh thyme, basil, sugar, and red pepper flakes. Cover and let cook on the slow setting for 6-8 hours. Use 2 forks to shred the meat. You’ll know it’s done when it falls apart easily. Season with salt to taste. Feel free to skim any excess fat off the top and remove the bay leaves and basil leaves before serving. Serve over pappardelle with a sprinkle of parsley and freshly grated parmesan.","
Source: http://littlespicejar.com/weekend-braised-beef-ragu-pappardelle/",Halal,Entree,4 hours,"Weekend-Braised-Beef-Ragu-with-Pappardelle-5.jpg (https://dl.airtable.com/.attachments/b183c2603612ca912eb9b7ace3467d70/edd76c29/Weekend-Braised-Beef-Ragu-with-Pappardelle-5.jpg),Weekend-Braised-Beef-Ragu-with-Pappardelle-7.jpg (https://dl.airtable.com/.attachments/d0ce5b46398c88000a01cce88d0adb2e/717cd655/Weekend-Braised-Beef-Ragu-with-Pappardelle-7.jpg)",,
"Braised Celery, Onion, & Tomatoes (with Pancetta*)",Italian,,,"2 lb celery
1/4 cup olive oil
1.5 onion sliced very thinly
3/4 cup canned whole plum tomatoes, chopped coarsely with their juice
salt/pepper
2/3 cup pancetta","Source: ""Essentials of Classic Italian Cooking"" by Marcella Hazan (Kindle loc 9359)

Photo from: https://food52.com/recipes/21532-marcella-hazan-s-braised-celery-with-onion-pancetta-and-tomatoes",Paleo,Appetizer,,Screen Shot 2020-06-02 at 2.38.18 PM.png (https://dl.airtable.com/.attachments/acc6bb88dce919f9a27ec9d18e35f241/4d6839aa/ScreenShot2020-06-02at2.38.18PM.png),,
Broccoli Garlic Soup,American,,,,,"Vegetarian,Paleo,Halal",Soup,,,,
Broccoli Za'atar Soup with Lemon Tahini Cream,Middle Eastern,,,,Source: https://dishingupthedirt.com/recipes/broccoli-zaatar-soup-tahini-cream/,"Halal,Vegetarian,Paleo,Vegan",Soup,,,,
Bruschetta,Italian,,,,,,,,,,
Bucatini all'Amatriciana,Italian,,"  pepper to taste,  salt to taste,0.33 cup pecorino romano,8 oz bucatini,1  dried Calabrian chili pepper,3  plum tomato(es),6 oz guanciale",,"Sources:
- https://www.lacucinaitaliana.com/recipe/pasta/bucatini-allamatriciana
- p. 221 of ""La Cucina: The Regional Cooking of Italy"" by Accademia Italiana della Cucina",,Entree,,bucatini_all'amatriciana.jpg (https://dl.airtable.com/.attachments/b08c0f35fec199719d9c382554e9c402/3a7b3408/bucatini_allamatriciana.jpg),,
Butternut Squash Risotto,Italian,6,"  salt to taste,0.5 tsp nutmeg,0.75 cup parmigiano reggiano,6 oz white wine,1.5 cups arborio rice,2 cloves garlic,1  onion(s),1 tbsp olive oil,0.5 tsp salt,4 cups vegetable stock,3 tbsp butter (unsalted)","*NOTE* The whole uncooked squash should weigh ~2.5 pounds to get the right amount of cooked squash meat.

Prep:
* Roast the squash beforehand. Preheat the oven to 450 degrees. Cut the squash in half and remove the seeds and strings. Place the squash halves, cut side up, on a rimmed baking sheet. Melt the 1 tbsp butter and brush it over the squash. Sprinkle with salt to taste. Bake until tender (~45 minutes). When cool enough to handle, scrape the flesh out and mash with a large fork. There should be ~ 1 ¾ cups of squash to use.

While the squash is cooling, chop the onion.

Directions:
Place the squash seeds and strings in a sauce pan with the vegetable stock and 1/2 tsp salt. Bring to a boil over high heat. Reduce the heat and simmer 25-30 minutes. Strain through a fine mesh strainer, extracting as much liquid as possible. Measure the broth and add enough water to make 6 cups.

Heat 1 tbsp butter and the oil in a stockpot over medium heat. When the foaming subsides, add the onion and cook until softened. Add the garlic and sauté for 1 minute. Add the rice and cook for 1 minute. Add the wine and cook till wine is nearly evaporated. Add the broth in 1 cup increment, waiting until one cup is absorbed before adding another. Stir constantly until risotto is creamy NOT soupy. This may not use all the broth because you don’t want it to be soupy.

Remove the pot from the heat and vigorously stir in the squash, cheese, sage, and remaining 1 tbsp butter. Add nutmeg to taste. Serve with more grated cheese.

",,"Vegetarian,Halal",Entree,,,,
